Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
01/01/2022,,,,0,
01/02/2022,,,,0,
01/03/2022,,,,0,
01/04/2022,,,,0,
01/05/2022,,,,0,
01/06/2022,,,,0,
01/07/2022,,,,0,
01/08/2022,,,,0,
01/09/2022,,,,0,
01/10/2022,,,,0,
01/11/2022,,,,0,
01/12/2022,,,,0,
01/13/2022,,,,0,
01/14/2022,,,,0,
01/15/2022,,,1,1,
01/16/2022,,,,0,
01/17/2022,,,2,2,
01/18/2022,,,,0,1
01/19/2022,,1,2,3,
01/20/2022,,,1,1,
01/21/2022,,,,0,
01/22/2022,,,1,1,
01/23/2022,,,,0,
01/24/2022,,,,0,
01/25/2022,,,1,1,
01/26/2022,,,,0,1
01/27/2022,,,,0,
01/28/2022,,,,0,
01/29/2022,,,,0,
01/30/2022,,,,0,
01/31/2022,,,,0,1
02/01/2022,,,1,1,
02/02/2022,,,1,1,
02/03/2022,,1,2,3,
02/04/2022,,,1,1,1
02/05/2022,,1,1,2,
02/06/2022,,1,,1,
02/07/2022,,,1,1,
02/08/2022,,,2,2,
02/09/2022,,,,0,
02/10/2022,,,2,2,
02/11/2022,,1,2,3,
02/12/2022,,1,4,5,1
02/13/2022,,1,7,8,
02/14/2022,,1,2,3,
02/15/2022,,,4,4,1
02/16/2022,,1,6,7,
02/17/2022,,1,2,3,
02/18/2022,,2,7,9,
02/19/2022,,,,0,
02/20/2022,,,4,4,
02/21/2022,,3,10,13,
02/22/2022,,2,4,6,
02/23/2022,,2,9,11,
02/24/2022,,2,8,10,
02/25/2022,,2,8,10,
02/26/2022,,,2,2,
02/27/2022,,2,4,6,
02/28/2022,,3,6,9,
03/01/2022,,4,6,10,
03/02/2022,,2,9,11,
03/03/2022,,4,8,12,
03/04/2022,,4,8,12,
03/05/2022,,3,8,11,
03/06/2022,,4,9,13,1
03/07/2022,,3,7,10,
03/08/2022,,3,9,12,
03/09/2022,,3,8,11,
03/10/2022,,4,7,11,
03/11/2022,,1,8,9,
03/12/2022,,5,8,13,
03/13/2022,,2,8,10,
03/14/2022,,3,6,9,
03/15/2022,,4,8,12,
03/16/2022,,3,10,13,
03/17/2022,,4,8,12,
